Project,Package,Module,Class,Smell,Method,Line no,File,Description
flask_app,flask_app,app,,Long statement,get_all_flights,247,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 171 chars in get_all_flights exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_all_flights,251,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 521 chars in get_all_flights exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_flight_by_id,280,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 127 chars in get_flight_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_flight_by_id,291,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 165 chars in get_flight_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_arrivals,317,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 816 chars in get_arrivals exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_arrivals,353,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 144 chars in get_arrivals exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_arrivals,357,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 683 chars in get_arrivals exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_departures,384,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 798 chars in get_departures exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_departures,419,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 149 chars in get_departures exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_departures,423,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 592 chars in get_departures exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,save_subscription,464,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 168 chars in save_subscription exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Magic number,get_all_flights,242,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 5 used in get_all_flights.
flask_app,flask_app,app,,Magic number,get_all_flights,249,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 5 used in get_all_flights.
flask_app,flask_app,app,,Magic number,get_arrivals,355,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 5 used in get_arrivals.
flask_app,flask_app,app,,Magic number,get_departures,421,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 5 used in get_departures.
flask_app,flask_app,__init__ ,,Long statement,,7,/Users/jashwanthnaidu/ASDC project/group01/flask_app/__init__ .py,A line with 125 chars in __init__  exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Complex method,get_shops,22 - 212,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,"Method 'get_shops' has a cyclomatic complexity of 27, exceeding the max of 6."
flask_app,flask_app,shop,,Complex method,get_shop_by_id,216 - 317,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,"Method 'get_shop_by_id' has a cyclomatic complexity of 10, exceeding the max of 6."
flask_app,flask_app,shop,,Complex method,get_shop_items,493 - 607,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,"Method 'get_shop_items' has a cyclomatic complexity of 11, exceeding the max of 6."
flask_app,flask_app,shop,,Complex method,list_shop_items,788 - 836,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,"Method 'list_shop_items' has a cyclomatic complexity of 9, exceeding the max of 6."
flask_app,flask_app,shop,,Long method,get_shops,22 - 212,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Method 'get_shops' is too long (191 lines).
flask_app,flask_app,shop,,Long method,get_shop_by_id,216 - 317,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Method 'get_shop_by_id' is too long (101 lines).
flask_app,flask_app,shop,,Long method,get_shop_hours,320 - 390,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Method 'get_shop_hours' is too long (70 lines).
flask_app,flask_app,shop,,Long method,get_shop_catalog,420 - 490,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Method 'get_shop_catalog' is too long (70 lines).
flask_app,flask_app,shop,,Long method,get_shop_items,493 - 607,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Method 'get_shop_items' is too long (113 lines).
flask_app,flask_app,shop,,Long parameter list,get_shop_items,493 - 607,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,"get_shop_items has 7 parameters, exceeding the max of 5."
flask_app,flask_app,shop,,Long statement,get_shops,61,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 497 chars in get_shops exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_by_id,223,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 209 chars in get_shop_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_by_id,242,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 184 chars in get_shop_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_by_id,302,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 213 chars in get_shop_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_hours,338,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 198 chars in get_shop_hours exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_hours,359,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 121 chars in get_shop_hours exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_hours,370,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 128 chars in get_shop_hours exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_categories,399,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 201 chars in get_shop_categories exceeds the maximum length of 120 characters.
