Project,Package,Smell,Description
flask_app,flask_app,Unstable dependency,The component depends on other components that are less stable than itself. This component depends on following less stable component(s): flask_app.helper
flask_app,flask_app,Feature concentration,The component realizes more than one architectural concern/feature. Independent sets of related modules within this component are: [auth; constants; booking; app; shop]; [app2]; [test_db_connection]; [__init__ ]. LCC (Lack of Component Cohesion) = 0.5
